file,sentiment,OLP
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0365 COM_COM(2010)0745_EN.docx,0.12861122260065,2010_0365
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0366 COM_COM(2010)0761_EN.docx,0.11746276882676,2010_0366
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0368 COM_COM(2010)0764_EN.docx,0.0411769911436626,2010_0368
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0369 COM_COM(2010)0765_EN.docx,0.0490527356525852,2010_0369
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0370 COM_COM(2010)0767_EN.docx,0.197987695752341,2010_0370
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0372 COM_COM(2010)0772_EN.docx,0.149359446890235,2010_0372
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0373 COM_COM(2010)0775_EN.docx,0.0969955300439092,2010_0373
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0374 COM_COM(2010)0774_EN.docx,0.0853781656665547,2010_0374
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0377 COM_COM(2010)0781_EN.docx,0.0766226054391007,2010_0377
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0380 COM_COM(2010)0794_EN.docx,0.118307974941002,2010_0380
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0383 COM_COM(2010)0748_EN.docx,0.126660759368023,2010_0383
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0390 COM_COM(2010)0804_EN.docx,0.20103570280326,2010_0390
C:\Users\dario.marino5\Documents\R\proc-OLP_2010_0392 COM_COM(2010)0807_EN.docx,0.130574659045977,2010_0392
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0001 COM_COM(2010)0791_EN.docx,0.141273521375398,2011_0001
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0002 COM_COM(2011)0001_EN.docx,0.13432848140505,2011_0002
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0006 COM_COM(2011)0008_EN.docx,0.127911038057344,2011_0006
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0011 COM_COM(2011)0029_EN.docx,0.109584503868492,2011_0011
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0014 COM_COM(2011)0034_EN.docx,0.134465787078055,2011_0014
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0023 COM_COM(2011)0032_EN.docx,0.0459084701410366,2011_0023
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0038 COM_COM(2011)0079_EN.docx,0.117649273456931,2011_0038
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0039 COM_COM(2011)0082_EN.docx,0.049794728698183,2011_0039
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0051 COM_COM(2011)0118_EN.docx,0.126578383168671,2011_0051
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0062 COM_COM(2011)0142_EN.docx,0.186546159007686,2011_0062
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0093 COM_COM(2011)0215_EN.docx,0.157273345424174,2011_0093
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0105 COM_COM(2011)0245_EN.docx,0.119105809212246,2011_0105
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0129 COM_COM(2011)0275_EN.docx,0.0591041730548652,2011_0129
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0130 COM_COM(2011)0276_EN.docx,0.181600707341996,2011_0130
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0131 COM_COM(2011)0295_EN.docx,0.11933256784311,2011_0131
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0135 COM_COM(2011)0288_EN.docx,0.146708459734783,2011_0135
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0136 COM_COM(2011)0289_EN.docx,0.143832452351781,2011_0136
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0138 COM_COM(2011)0290(COR1)_EN.docx,0.0843124859885526,2011_0138
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0144 COM_COM(2011)0330_EN.docx,0.0707634674949645,2011_0144
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0150 COM_COM(2011)0315_EN.docx,0.157632248067055,2011_0150
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0153 COM_COM(2011)0349_EN.docx,0.0809722365622026,2011_0153
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0154 COM_COM(2011)0326_EN.docx,0.0952351275838879,2011_0154
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0156 COM_COM(2011)0353_EN.docx,0.176008229347111,2011_0156
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0169 COM_COM(2011)0384_EN.docx,0.14871595185793,2011_0169
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0172 COM_COM(2011)0370_EN.docx,0.19890998415651,2011_0172
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0187 COM_COM(2011)0402(COR1)_EN.docx,0.13838467207171,2011_0187
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0190 COM_COM(2011)0439_EN.docx,0.167427495427395,2011_0190
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0194 COM_COM(2011)0416_EN.docx,0.12406215016988,2011_0194
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0195 COM_COM(2011)0425_EN.docx,0.238772546126285,2011_0195
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0196 COM_COM(2011)0451_EN.docx,0.119668782558556,2011_0196
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0197 COM_COM(2011)0456_EN.docx,0.107199099759406,2011_0197
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0203 COM_COM(2011)0453_EN.docx,0.137550581710307,2011_0203
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0204 COM_COM(2011)0445_EN.docx,0.119125957504034,2011_0204
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0206 COM_COM(2011)0470_EN.docx,0.140860930980166,2011_0206
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0209 COM_COM(2011)0481_EN.docx,0.089365027637442,2011_0209
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0211 COM_COM(2011)0482_EN.docx,0.108563830263072,2011_0211
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0212 COM_COM(2011)0484_EN.docx,0.106599456313312,2011_0212
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0218 COM_COM(2011)0479_EN.docx,0.0892793060374304,2011_0218
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0223 COM_COM(2011)0516_EN.docx,0.0762907978393807,2011_0223
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0226 COM_COM(2011)0522_EN.docx,0.17009435074632,2011_0226
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0228 COM_COM(2011)0524_EN.docx,0.0658286205613196,2011_0228
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0229 COM_COM(2011)0525_EN.docx,0.127627788402388,2011_0229
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0231 COM_COM(2011)0530_EN.docx,0.151706046515586,2011_0231
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0238 COM_COM(2011)0540_EN.docx,0.178941206830937,2011_0238
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0239 COM_COM(2011)0555_EN.docx,0.126874687479774,2011_0239
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0242 COM_COM(2011)0560_EN.docx,0.104356630026492,2011_0242
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0243 COM_COM(2011)0566_EN.docx,0.08064786984219,2011_0243
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0260 COM_COM(2011)0598_EN.docx,0.09859150901946,2011_0260
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0262 COM_COM(2011)0600_EN.docx,0.0688504563331031,2011_0262
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0263 COM_COM(2011)0599_EN.docx,0.071703628965688,2011_0263
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0268 COM_COM(2011)0607(COR1)_EN.docx,0.180289854339682,2011_0268
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0269 COM_COM(2011)0608_EN.docx,0.130493941241151,2011_0269
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0272 COM_COM(2011)0610(COR1)_EN.docx,0.10522200860209,2011_0272
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0273 COM_COM(2011)0611(COR1)_EN.docx,0.192492380822196,2011_0273
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0274 COM_COM(2011)0612(COR1)_EN.docx,0.199371086668389,2011_0274
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0275 COM_COM(2011)0614_EN.docx,0.204896919263929,2011_0275
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0276 COM_COM(2011)0615(COR1)_EN.docx,0.185548356373841,2011_0276
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0280 COM_COM(2011)0625(COR2)_EN.docx,0.133914221648655,2011_0280
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0281 COM_COM(2011)0626(COR2)_EN.docx,0.13074947622808,2011_0281
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0282 COM_COM(2011)0627(COR2)_EN.docx,0.18529418458719,2011_0282
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0283 COM_COM(2011)0655_EN.docx,0.0566412980626621,2011_0283
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0285 COM_COM(2011)0631_EN.docx,0.113031482590389,2011_0285
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0286 COM_COM(2011)0630_EN.docx,0.116772202920881,2011_0286
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0288 COM_COM(2011)0628(COR1)_EN.docx,0.125202168059875,2011_0288
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0294 COM_COM(2011)0650(COR2)_EN.docx,0.204000372514693,2011_0294
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0295 COM_COM(2011)0651_EN.docx,0.0928883142360177,2011_0295
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0296 COM_COM(2011)0652_EN.docx,0.141028583697446,2011_0296
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0297 COM_COM(2011)0654_EN.docx,-0.0310538829228059,2011_0297
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0299 COM_COM(2011)0657_EN.docx,0.217835524569996,2011_0299
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0302 COM_COM(2011)0665(COR2)_EN.docx,0.162085622880736,2011_0302
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0307 COM_COM(2011)0683_EN.docx,0.153708969676635,2011_0307
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0308 COM_COM(2011)0684_EN.docx,0.0989609782926663,2011_0308
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0309 COM_COM(2011)0688_EN.docx,0.136977165336701,2011_0309
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0310 COM_COM(2011)0704_EN.docx,0.0998248441820787,2011_0310
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0339 COM_COM(2011)0709_EN.docx,0.206293411279679,2011_0339
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0340 COM_COM(2011)0707_EN.docx,0.186836019452341,2011_0340
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0344 COM_COM(2011)0758_EN.docx,0.16305626289663,2011_0344
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0345 COM_COM(2011)0760_EN.docx,0.118046009857093,2011_0345
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0349 COM_COM(2011)0771_EN.docx,0.14460283090782,2011_0349
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0350 COM_COM(2011)0768_EN.docx,0.11733016155327,2011_0350
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0351 COM_COM(2011)0765_EN.docx,0.118756046251092,2011_0351
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0352 COM_COM(2011)0766_EN.docx,0.143040783852294,2011_0352
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0354 COM_COM(2011)0770_EN.docx,0.216653207567083,2011_0354
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0356 COM_COM(2011)0772_EN.docx,0.146384530467517,2011_0356
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0357 COM_COM(2011)0773_EN.docx,0.111802037020962,2011_0357
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0358 COM_COM(2011)0764_EN.docx,0.153841708605069,2011_0358
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0359 COM_COM(2011)0779_EN.docx,0.182679538752804,2011_0359
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0365 COM_COM(2011)0750_EN.docx,0.159019311758331,2011_0365
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0366 COM_COM(2011)0751_EN.docx,0.210922702125594,2011_0366
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0367 COM_COM(2011)0752_EN.docx,0.153555339451961,2011_0367
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0368 COM_COM(2011)0753_EN.docx,0.151180560373313,2011_0368
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0369 COM_COM(2011)0759_EN.docx,0.143680151089089,2011_0369
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0370 COM_COM(2011)0785_EN.docx,0.241295424683893,2011_0370
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0371 COM_COM(2011)0788_EN.docx,0.225464758352988,2011_0371
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0372 COM_COM(2011)0789_EN.docx,0.16197526542733,2011_0372
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0373 COM_COM(2011)0793_EN.docx,0.141802283931021,2011_0373
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0374 COM_COM(2011)0794_EN.docx,0.0718368139186031,2011_0374
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0380 COM_COM(2011)0804_EN.docx,0.221554882294928,2011_0380
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0384 COM_COM(2011)0817_EN.docx,0.202108487309608,2011_0384
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0387 COM_COM(2011)0822_EN.docx,0.357122122753605,2011_0387
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0389 COM_COM(2011)0778_EN.docx,0.172097463686457,2011_0389
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0391 COM_COM(2011)0827(COR1)_EN.docx,0.126109136167289,2011_0391
C:\Users\dario.marino5\Documents\R\proc-OLP_2011_0397 COM_COM(2011)0824_EN.docx,0.169913094376145,2011_0397
